,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_criterion,params_hidden_dim,params_kernel_size,params_learning_rate,params_num_layers,params_weight_decay,state
0,0,477.22746996858933,2024-04-26 10:40:14.028817,2024-04-26 11:17:10.213257,0 days 00:36:56.184440,0.7006140288972957,0.8880123451405376,mse,69,3,0.0025288879221816466,3,8.462310168274288e-05,COMPLETE
1,1,19.030963162839154,2024-04-26 10:40:14.038328,2024-04-26 11:22:19.220292,0 days 00:42:05.181964,0.5528267521876564,0.6628230760926783,l1,101,7,0.0073511079775096565,1,6.0620898553228086e-05,COMPLETE
2,2,20.116142355518424,2024-04-26 10:40:14.055241,2024-04-26 11:04:09.821405,0 days 00:23:55.766164,0.6067684059349168,0.7596196160450859,l1,29,7,0.008357061405841762,3,8.679515667063233e-06,COMPLETE
3,3,469.38026302717464,2024-04-26 10:40:14.078993,2024-04-26 11:21:50.787923,0 days 00:41:36.708930,0.813422511714669,0.8689495140516408,mse,45,5,0.007393890340339249,2,7.459396861119129e-05,COMPLETE
4,4,454.19794705213405,2024-04-26 11:04:09.840751,2024-04-26 11:24:57.117518,0 days 00:20:47.276767,0.5482681018867664,0.6339892172699008,mse,111,3,0.0022278444013387236,2,2.2256321261060538e-05,COMPLETE
5,5,19.40509131873325,2024-04-26 11:17:10.230046,2024-04-26 11:33:24.736496,0 days 00:16:14.506450,0.5673461286123685,0.830314148557264,l1,21,3,0.005770119655458153,3,3.760769428629873e-05,COMPLETE
6,6,16.294938859485445,2024-04-26 11:21:50.801785,2024-04-26 11:35:28.490885,0 days 00:13:37.689100,0.7245048731526211,0.7376585167308198,l1,40,3,0.007615584386894606,2,2.0949261243752795e-05,COMPLETE
7,7,8591.218331473214,2024-04-26 11:22:19.242281,2024-04-26 11:35:43.918258,0 days 00:13:24.675977,0.846658506892364,0.7248399338805255,mse,28,7,0.0004049680510510653,1,5.816556785010812e-05,COMPLETE
8,8,18.074535634094502,2024-04-26 11:24:57.135780,2024-04-26 11:37:28.964518,0 days 00:12:31.828738,0.635530912763246,0.610927581826599,l1,103,5,0.006444747810939813,2,2.103854583681172e-05,COMPLETE
9,9,22.6841144933329,2024-04-26 11:33:24.762941,2024-04-26 11:38:06.629370,0 days 00:04:41.866429,0.77344006616207,0.5881763650433841,l1,40,3,0.001415045623293222,1,7.135518415415948e-05,COMPLETE
