,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_kernel_size,params_learning_rate,params_num_layers,params_weight_decay,state
0,0,,2024-04-26 13:19:31.804378,2024-04-26 13:19:35.164864,0 days 00:00:03.360486,0.6541222482285897,0.9025944766392049,85,5,0.0030670220703931826,2,7.582785496432391e-05,FAIL
1,1,,2024-04-26 13:19:31.826779,2024-04-26 13:19:35.042030,0 days 00:00:03.215251,0.8818082465785688,0.8948500351859638,122,3,0.003832081907387932,2,2.0925442076337997e-05,FAIL
2,2,,2024-04-26 13:19:31.852113,2024-04-26 13:19:34.968707,0 days 00:00:03.116594,0.6484958391998039,0.9612357728191849,105,3,0.0030987896031296025,2,5.000424653959835e-05,FAIL
3,3,,2024-04-26 13:19:31.866385,2024-04-26 13:19:35.007368,0 days 00:00:03.140983,0.737531734027846,0.523238451885471,112,7,0.009935254119639624,1,5.2693192583602086e-05,FAIL
4,4,,2024-04-26 13:19:31.878952,2024-04-26 13:19:35.120204,0 days 00:00:03.241252,0.6622354401585016,0.5542008869034915,33,7,0.0019241425821799867,3,2.031414240638686e-05,FAIL
5,5,,2024-04-26 13:19:31.902973,2024-04-26 13:19:35.200108,0 days 00:00:03.297135,0.5582207052007836,0.6334661916048862,67,5,0.005812849775380921,3,8.06152166400958e-05,FAIL
6,6,,2024-04-26 13:19:31.915302,2024-04-26 13:19:35.057604,0 days 00:00:03.142302,0.5549447273027132,0.7997024215143046,70,3,0.00010320625457942936,2,4.362682055713163e-05,FAIL
7,7,,2024-04-26 13:19:31.929239,2024-04-26 13:19:35.047300,0 days 00:00:03.118061,0.8380125320881009,0.882046905147224,87,7,0.002328061293482401,1,4.6556786003750875e-05,FAIL
8,8,,2024-04-26 13:19:31.938932,2024-04-26 13:19:35.216062,0 days 00:00:03.277130,0.6311422015622179,0.9006206544406158,88,5,0.0013410372101251675,3,9.536532861872259e-05,FAIL
9,9,,2024-04-26 13:19:31.950788,2024-04-26 13:19:35.090056,0 days 00:00:03.139268,0.5479753260928117,0.5335781869303945,106,7,0.00897755985711972,2,3.695832591609737e-05,FAIL
10,10,,2024-04-26 13:19:31.962600,2024-04-26 13:19:35.100621,0 days 00:00:03.138021,0.7726983239842038,0.6750294157255428,125,7,0.0020925952087603086,3,2.5923004215242334e-05,FAIL
11,11,,2024-04-26 13:19:31.984605,2024-04-26 13:19:35.229088,0 days 00:00:03.244483,0.5794088482065967,0.8676653886379121,64,7,0.0035941790897145763,3,5.640173726016544e-05,FAIL
