,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
0,0,0.03399974616542781,2024-05-01 14:18:42.773341,2024-05-01 14:21:22.255602,0 days 00:02:39.482261,0.5470184620952856,0.8916071568730619,1024,0.002232767340201012,2,1,2.9490641844474854e-05,COMPLETE
1,1,0.0318338078168499,2024-05-01 14:18:42.794976,2024-05-01 15:15:52.748375,0 days 00:57:09.953399,0.5577573773250475,0.8837336890707862,384,0.0021332418214638333,8,3,2.8802251884254763e-05,COMPLETE
2,2,0.040311090490938006,2024-05-01 14:18:42.805503,2024-05-01 15:15:53.043511,0 days 00:57:10.238008,0.8278789856614441,0.907795426677074,1024,0.0021629677847461986,8,3,6.364083086560301e-05,COMPLETE
3,3,0.07224639363232113,2024-05-01 14:18:42.884173,2024-05-01 14:22:23.119677,0 days 00:03:40.235504,0.8157991771536983,0.5947832047190164,896,0.00033129241635925205,16,1,1.2630010759415601e-06,COMPLETE
4,4,0.0711133944039995,2024-05-01 14:18:42.902355,2024-05-01 14:20:56.369816,0 days 00:02:13.467461,0.7289307530323458,0.6291613477712868,128,0.005258021342165821,4,2,9.180706403997468e-05,COMPLETE
5,5,0.009463394219983063,2024-05-01 14:18:42.955778,2024-05-01 14:20:32.896977,0 days 00:01:49.941199,0.894558930465047,0.9364675722661362,128,0.0022934795964781552,4,2,2.9509516660973832e-05,COMPLETE
6,6,0.011439970910178248,2024-05-01 14:18:42.990311,2024-05-01 14:34:24.223244,0 days 00:15:41.232933,0.7410901059990751,0.694291214983793,1024,0.0007609733914002265,16,2,3.1456434300503063e-05,COMPLETE
7,7,0.060563993353993345,2024-05-01 14:18:43.038242,2024-05-01 14:21:37.451558,0 days 00:02:54.413316,0.5975290709293788,0.5976076667043099,640,0.00785143704868805,16,3,4.713661782721503e-05,COMPLETE
8,8,0.0402752754653429,2024-05-01 14:18:43.081765,2024-05-01 15:20:25.439788,0 days 01:01:42.358023,0.6798545933378799,0.5958913599534077,128,0.004787363897720202,4,1,2.2072768742944777e-05,COMPLETE
9,9,0.15345183421264996,2024-05-01 14:18:43.103690,2024-05-01 14:58:02.109480,0 days 00:39:19.005790,0.5600164004511503,0.7462580400782597,256,0.002615282857612962,4,4,7.271717120117196e-05,COMPLETE
10,10,0.05858036618502367,2024-05-01 14:18:43.120750,2024-05-01 14:31:38.410031,0 days 00:12:55.289281,0.8451031954421256,0.5151374107973667,512,0.0024007311788639355,4,2,2.0439572084616697e-05,COMPLETE
11,11,0.04157762441509988,2024-05-01 14:18:43.149307,2024-05-01 14:58:01.860858,0 days 00:39:18.711551,0.7998492776400683,0.9308732743859667,384,0.00492973238037962,4,4,1.152099757912431e-05,COMPLETE
12,12,0.05371230190773031,2024-05-01 14:18:43.160424,2024-05-01 14:57:54.925981,0 days 00:39:11.765557,0.8924067108206537,0.9120392990730444,256,0.0076968773529319445,8,4,4.372742752173223e-05,COMPLETE
13,13,0.030905980640998136,2024-05-01 14:18:43.172769,2024-05-01 15:15:52.984300,0 days 00:57:09.811531,0.8878370532243766,0.5717678035935025,896,0.0028239354182450728,16,3,3.9596184168114514e-05,COMPLETE
14,14,0.03168159551128293,2024-05-01 14:18:43.185634,2024-05-01 15:20:01.301394,0 days 01:01:18.115760,0.863880249739969,0.742083422355468,256,0.006255403815142838,8,1,1.987867748286917e-05,COMPLETE
15,15,0.042769776133102774,2024-05-01 14:18:43.199783,2024-05-01 15:15:52.532552,0 days 00:57:09.332769,0.5335136862206216,0.5037637282571344,896,0.009889801289037114,16,3,2.2453869110660137e-06,COMPLETE
16,16,0.1330111569108127,2024-05-01 14:18:43.212343,2024-05-01 14:58:02.032348,0 days 00:39:18.820005,0.5193371345638269,0.5174292639682768,768,0.003844967813157895,4,4,6.33959516057232e-05,COMPLETE
17,17,0.011838013374799,2024-05-01 14:18:43.225713,2024-05-01 15:08:17.083375,0 days 00:49:33.857662,0.7886288176482983,0.892068110371537,128,0.0026026878569291416,2,3,4.814751644822936e-05,COMPLETE
18,18,0.014629084665279884,2024-05-01 14:18:43.241570,2024-05-01 14:20:40.310143,0 days 00:01:57.068573,0.5073423275590927,0.8288581570462555,256,0.000821491641119274,4,2,8.13408614532702e-05,COMPLETE
19,19,0.10649939935283485,2024-05-01 14:18:43.254018,2024-05-01 14:55:38.404136,0 days 00:36:55.150118,0.799596054606251,0.6799031537228246,384,0.005363486942877388,16,4,7.430537588665286e-05,COMPLETE
20,20,0.05237610938906412,2024-05-01 14:18:43.263396,2024-05-01 15:15:52.695133,0 days 00:57:09.431737,0.5891041407367031,0.9857856363549276,384,0.004111177334764628,16,3,4.5018036117754636e-05,COMPLETE
21,21,0.0397739994271106,2024-05-01 14:18:43.277196,2024-05-01 15:16:41.241565,0 days 00:57:57.964369,0.5226326644419743,0.9141432141385932,256,0.006464209892325257,8,2,3.2384655323136746e-05,COMPLETE
22,22,0.041390652764282186,2024-05-01 14:18:43.292017,2024-05-01 14:43:29.668086,0 days 00:24:46.376069,0.7590247583317893,0.6495703369807159,1024,0.008598104187288522,16,4,1.8716093343354383e-05,COMPLETE
23,23,0.1054656118057765,2024-05-01 14:18:43.350311,2024-05-01 15:15:52.908128,0 days 00:57:09.557817,0.8491772694263445,0.8438425127093302,512,0.007827453453617742,2,3,7.673272494082755e-05,COMPLETE
24,24,0.10589600022624195,2024-05-01 14:18:43.364270,2024-05-01 15:19:16.061182,0 days 01:00:32.696912,0.5683615592176987,0.6810468718748941,256,0.0031712629791536525,16,2,5.5157778879125774e-05,COMPLETE
25,25,0.05414920480059081,2024-05-01 14:18:43.376879,2024-05-01 15:16:33.704036,0 days 00:57:50.327157,0.5176223541897668,0.6598694984978003,768,0.008201037320890092,2,2,2.568597855040445e-05,COMPLETE
26,26,0.06047425539236822,2024-05-01 14:18:43.332051,2024-05-01 15:15:52.961399,0 days 00:57:09.629348,0.8432915859196053,0.8712560316317897,1024,0.005903221888586245,16,3,4.823682951121642e-05,COMPLETE
27,27,0.058509329712881156,2024-05-01 14:18:43.386944,2024-05-01 14:58:01.981832,0 days 00:39:18.594888,0.6766077837763405,0.9790822102505802,512,0.006840646911978721,2,4,6.425699619434257e-05,COMPLETE
28,28,0.03763902324425194,2024-05-01 14:18:43.416414,2024-05-01 15:14:53.289737,0 days 00:56:09.873323,0.8916367418120137,0.5213786210344422,512,0.008265325235452203,4,3,1.5216804299143657e-05,COMPLETE
29,29,0.0460482109983117,2024-05-01 14:18:43.429376,2024-05-01 14:58:02.123524,0 days 00:39:18.694148,0.8277816738615618,0.5342353085769914,384,0.0056505597166147895,2,4,1.536295151420003e-05,COMPLETE
30,30,0.04410911414336849,2024-05-01 14:18:43.439252,2024-05-01 15:15:52.574599,0 days 00:57:09.135347,0.7696321363970613,0.9782940031804883,640,0.009399537801436446,4,3,4.199167378163365e-05,COMPLETE
31,31,0.09232783660260371,2024-05-01 14:18:43.456037,2024-05-01 15:02:32.778938,0 days 00:43:49.322901,0.5400627997276864,0.6777760091045951,128,0.008834154772203943,16,3,7.606589503515397e-05,COMPLETE
32,32,0.05003003387417628,2024-05-01 14:18:43.468092,2024-05-01 15:17:22.147949,0 days 00:58:38.679857,0.8125033630449218,0.915182626979244,768,0.00874491387405208,8,2,9.441544833371608e-05,COMPLETE
33,33,0.011884281119468796,2024-05-01 14:18:43.493627,2024-05-01 15:20:14.289862,0 days 01:01:30.796235,0.8853798727293545,0.6531304901105122,128,0.0011672848084314342,4,1,6.719760247502373e-05,COMPLETE
34,34,0.032550873936383756,2024-05-01 14:18:43.509019,2024-05-01 15:20:21.732828,0 days 01:01:38.223809,0.8920153571545627,0.8329150752143872,256,0.006192706149234419,16,1,3.3554264806713095e-05,COMPLETE
35,35,0.03690601745821955,2024-05-01 14:18:43.523812,2024-05-01 15:15:52.969488,0 days 00:57:09.445676,0.7924691643097901,0.6197554674860905,384,0.009922964762428694,16,3,3.141840215594981e-05,COMPLETE
36,36,0.08043620071789145,2024-05-01 14:18:43.538742,2024-05-01 15:08:59.044976,0 days 00:50:15.506234,0.8519686933008637,0.7975769645017746,512,0.006228803857691895,16,3,9.589651093957243e-05,COMPLETE
37,37,0.041504305549514245,2024-05-01 14:18:43.570042,2024-05-01 14:58:02.159398,0 days 00:39:18.589356,0.5263943679519822,0.8713761900527088,384,0.0077379236205028625,8,4,1.6254298438529434e-05,COMPLETE
38,38,0.033823748389299295,2024-05-01 14:18:43.612628,2024-05-01 15:04:55.542894,0 days 00:46:11.930266,0.7368404266564913,0.9519671616087402,384,0.007451021322756012,16,3,4.138189634319348e-05,COMPLETE
39,39,0.013682527971570884,2024-05-01 14:18:43.651369,2024-05-01 15:17:15.274590,0 days 00:58:31.623221,0.7366342129675862,0.6813231313246078,768,0.00027253440735773365,8,2,6.10962076131917e-05,COMPLETE
40,40,0.0323388126086105,2024-05-01 14:18:43.698859,2024-05-01 15:17:19.500572,0 days 00:58:35.801713,0.7412566682614766,0.8615388898399361,384,0.006042762255381566,16,2,1.596726581284409e-05,COMPLETE
41,41,0.01803055324176431,2024-05-01 14:18:43.719310,2024-05-01 14:58:02.009139,0 days 00:39:18.289829,0.5597031479420033,0.8555144566666453,512,0.0013673584859107922,16,4,9.384478621978383e-05,COMPLETE
42,42,0.07048014404647278,2024-05-01 14:18:43.792127,2024-05-01 15:15:52.634730,0 days 00:57:08.842603,0.7459952236249924,0.9865756118014528,640,0.007540768822759147,8,3,1.0949334913993912e-05,COMPLETE
43,43,0.05312392074066452,2024-05-01 14:18:43.817683,2024-05-01 15:15:53.008936,0 days 00:57:09.191253,0.747756218400802,0.5762649947811646,896,0.00539250957693862,16,3,3.0492951128000885e-05,COMPLETE
44,44,0.045389885542454655,2024-05-01 14:18:43.842254,2024-05-01 15:20:17.878274,0 days 01:01:34.036020,0.8472882252375287,0.9812170944758998,512,0.008836269795801302,8,1,9.883315209859551e-05,COMPLETE
45,45,0.03766776982985147,2024-05-01 14:18:43.879764,2024-05-01 15:16:53.673859,0 days 00:58:09.794095,0.7463573305596797,0.7800508562188377,512,0.0036736788360201213,16,2,3.2249989486532975e-05,COMPLETE
46,46,0.01731847720906074,2024-05-01 14:18:43.899044,2024-05-01 15:18:48.876753,0 days 01:00:04.977709,0.6300741856898101,0.7635230074852158,384,0.0015830989764192436,16,2,8.162346011968958e-05,COMPLETE
47,47,0.07082514686598665,2024-05-01 14:18:43.962230,2024-05-01 15:15:52.766872,0 days 00:57:08.804642,0.5963981774487449,0.7205330212172719,896,0.0028961319841440815,16,3,5.5101818938537765e-05,COMPLETE
48,48,0.03199485600704238,2024-05-01 14:18:44.025684,2024-05-01 15:15:52.682317,0 days 00:57:08.656633,0.8868162338562703,0.9850727872339893,896,0.0037543696498619507,4,3,2.819565238092544e-05,COMPLETE
49,49,0.13828165879981083,2024-05-01 14:18:44.055158,2024-05-01 14:58:01.909622,0 days 00:39:17.854464,0.6124144019808094,0.7694905638612652,128,0.00293735799517138,16,4,7.93386818390955e-05,COMPLETE
50,50,0.024941698430323754,2024-05-01 14:18:44.140120,2024-05-01 14:55:35.568161,0 days 00:36:51.428041,0.5243171118221838,0.672824894353321,896,0.0015659905907319037,2,4,3.6692536856160174e-05,COMPLETE
51,51,0.03566666991647446,2024-05-01 14:18:44.177167,2024-05-01 14:58:01.946164,0 days 00:39:17.768997,0.597130199608918,0.968641027784477,512,0.004233266969901002,16,4,5.357619972340247e-05,COMPLETE
52,52,0.14117662856169852,2024-05-01 14:18:44.200824,2024-05-01 15:15:53.003682,0 days 00:57:08.802858,0.7696225927877044,0.7107142705722647,128,0.006133355674532655,2,3,3.0214732073329792e-05,COMPLETE
53,53,0.07027792154097712,2024-05-01 14:18:44.235925,2024-05-01 15:18:52.585668,0 days 01:00:08.349743,0.7261588121451092,0.8899670338343628,384,0.007384270396918571,4,2,6.201096674388934e-05,COMPLETE
54,54,0.03382678644417168,2024-05-01 14:18:44.254993,2024-05-01 15:20:12.879637,0 days 01:01:28.624644,0.7689993874790395,0.5685748976060762,384,0.006581845972656815,4,1,1.4764150540347208e-05,COMPLETE
