,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_channelExponent,params_dropout,params_learning_rate,params_weight_decay,state
0,0,8.786926180769354,2024-04-29 11:36:25.601962,2024-04-29 11:42:34.023963,0 days 00:06:08.422001,0.5415871456821741,0.6468377505566579,8,0.1792596361213734,0.008220368312371868,2.401289924029699e-05,COMPLETE
1,1,6.438722633180165,2024-04-29 11:36:25.611171,2024-04-29 11:41:33.677213,0 days 00:05:08.066042,0.8418378572970141,0.802818490650828,5,0.31258505038037343,0.00662498144895897,6.19188455405837e-05,COMPLETE
2,2,6.432802445960768,2024-04-29 11:36:25.630431,2024-04-29 11:41:22.790721,0 days 00:04:57.160290,0.5747954601049925,0.6390193769866114,4,0.15533935146952632,0.0030651570668236826,3.638270385346808e-05,COMPLETE
3,3,6.074295454727107,2024-04-29 11:36:25.716346,2024-04-29 11:42:43.312260,0 days 00:06:17.595914,0.7533633692956151,0.9439448475514849,5,0.19306639599321984,0.006330475857658755,1.1991242378386126e-05,COMPLETE
4,4,6.8250454535215965,2024-04-29 11:41:22.817918,2024-04-29 11:44:44.376037,0 days 00:03:21.558119,0.5987141183697617,0.7041917680854002,6,0.3914787574593211,0.0064358369679213484,7.909620105663718e-05,COMPLETE
5,5,9.32777636804622,2024-04-29 11:41:33.698846,2024-04-29 11:44:52.679867,0 days 00:03:18.981021,0.8315950550690917,0.764555878476211,4,0.40700781200723446,0.008983379211234493,2.004519883685454e-05,COMPLETE
6,6,6.7774298304603215,2024-04-29 11:42:34.047528,2024-04-29 11:46:26.072556,0 days 00:03:52.025028,0.7032606878738129,0.6506827111868614,5,0.3196779288415311,0.003320762647325498,5.024237031168672e-05,COMPLETE
7,7,4.2990158388624975,2024-04-29 11:42:43.338326,2024-04-29 11:46:58.683262,0 days 00:04:15.344936,0.7987792550741706,0.8656424719302966,6,0.03325629119810608,0.008013460943496092,3.0337993126761358e-05,COMPLETE
8,8,4.339119291924811,2024-04-29 11:44:44.399197,2024-04-29 11:53:14.770082,0 days 00:08:30.370885,0.8627854421028023,0.6135398117671768,8,0.13003215029295928,0.003953694985630077,1.654306885700295e-05,COMPLETE
9,9,7.052712172140807,2024-04-29 11:44:52.696716,2024-04-29 11:53:21.448418,0 days 00:08:28.751702,0.7160886958798293,0.89579122871968,7,0.34092763100420775,0.00949823851412921,9.310254138805313e-05,COMPLETE
10,10,4.687498798618069,2024-04-29 11:46:26.099383,2024-04-29 11:54:09.772207,0 days 00:07:43.672824,0.6472100463617695,0.9341623283782957,6,0.008702269939567464,0.0041334192190380795,5.883169070018154e-05,COMPLETE
11,11,5.992992355709984,2024-04-29 11:46:58.708320,2024-04-29 11:54:38.808908,0 days 00:07:40.100588,0.8778128331503466,0.5304091784110918,6,0.32891654016483074,0.0023797991735232237,4.180713399700083e-05,COMPLETE
12,12,9.592281979399843,2024-04-29 11:53:14.799703,2024-04-29 12:02:03.684872,0 days 00:08:48.885169,0.6212276311492406,0.5803202347288269,4,0.49579285217433017,0.002424433776067556,3.085111118478492e-05,COMPLETE
13,13,3.7877632198911724,2024-04-29 11:53:21.462573,2024-04-29 12:03:10.075967,0 days 00:09:48.613394,0.7805981160456105,0.9983069117852681,7,0.05946945127282771,0.00035038270157791793,1.250162783553174e-06,COMPLETE
