,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state
0,0,,2024-04-30 11:02:22.550654,,,0.54807657549652,0.8571988892445704,256,0.0013047231405808877,8,1,4.455394194762184e-05,RUNNING
1,1,,2024-04-30 11:02:22.578653,,,0.6581163070787084,0.7127160775072556,384,0.000800199575613388,16,4,6.697897698926128e-06,RUNNING
2,2,,2024-04-30 11:02:22.598419,,,0.6974918457232211,0.85992743152929,768,0.007912838699244498,4,3,3.8781918601509393e-05,RUNNING
3,3,,2024-04-30 11:02:22.672989,,,0.7988197339614607,0.7749483041705034,1024,0.008844524132267374,8,4,7.668969589385916e-05,RUNNING
4,4,,2024-04-30 11:02:22.685983,,,0.7195538519453987,0.8213894943480624,128,0.0018673980267129486,8,3,4.553446959772838e-05,RUNNING
5,5,,2024-04-30 11:02:22.724532,,,0.7262133368632202,0.9705695770329674,256,0.007899051808308206,2,2,3.252912161325178e-05,RUNNING
6,6,,2024-04-30 11:02:22.746383,,,0.7079376879565334,0.5374839282425126,768,0.001907030120769653,4,3,3.1407303210074466e-05,RUNNING
7,7,,2024-04-30 11:02:22.770473,,,0.5567050252284564,0.6266418807833555,256,0.007649304206874339,4,3,9.587799875392699e-05,RUNNING
8,8,,2024-04-30 11:02:22.801542,,,0.8739752055059519,0.938436771968501,640,0.00948568431312526,2,2,2.279091755824738e-06,RUNNING
9,9,,2024-04-30 11:02:22.810218,,,0.777777476652115,0.7645332606631954,896,0.006160465019468995,16,1,9.979911954825596e-05,RUNNING
10,10,,2024-04-30 11:02:22.842073,,,0.6621225939060804,0.7135411917854125,128,0.007592711102769203,8,1,8.122968040108957e-05,RUNNING
11,11,,2024-04-30 11:02:22.895873,,,0.669058951933406,0.8297646310656851,896,0.006903976848485847,16,2,3.0338719743885385e-05,RUNNING
12,12,,2024-04-30 11:02:22.914182,,,0.720396227553046,0.8075960060641936,896,0.006914650987795729,16,1,2.8337381797491656e-05,RUNNING
13,13,,2024-04-30 11:02:22.927606,,,0.6013455551338813,0.5139540900533781,256,0.0019497315245295315,8,1,9.861382047505336e-05,RUNNING
14,14,,2024-04-30 11:02:22.945194,,,0.7966426189490248,0.8145277103302206,896,0.00032240039584546836,2,2,5.734950837926166e-05,RUNNING
15,15,,2024-04-30 11:02:22.953488,,,0.6222984923312855,0.5687316789387962,256,0.007003203412657605,8,1,2.062384063664957e-05,RUNNING
16,16,,2024-04-30 11:02:22.976371,,,0.7174254068017988,0.8213974721668313,256,0.007207968314908795,4,2,6.631887266394387e-05,RUNNING
17,17,,2024-04-30 11:02:23.001235,,,0.6886908174140828,0.8010952703620975,384,0.0011923878417573956,16,3,7.957628591983269e-05,RUNNING
18,18,,2024-04-30 11:02:23.016342,,,0.7706781183892887,0.7079755017658164,768,0.0009450955264584403,16,4,4.167747288404422e-05,RUNNING
19,19,,2024-04-30 11:02:23.029579,,,0.6093325537323302,0.6167907812138154,256,0.004996854167935436,2,2,5.534072618829621e-05,RUNNING
20,20,,2024-04-30 11:02:23.042781,,,0.8141089186853767,0.6163235457744045,384,0.008982124812525806,4,2,4.0029784850336644e-05,RUNNING
21,21,,2024-04-30 11:02:23.058366,,,0.6514490906548827,0.8608251381252987,512,0.003196107352824433,16,1,6.618895271697866e-05,RUNNING
22,22,,2024-04-30 11:02:23.070017,,,0.6715593394439112,0.5131860358811107,384,0.009989534861314655,4,2,4.9633477000345036e-05,RUNNING
23,23,,2024-04-30 11:02:23.083859,,,0.5518237786419476,0.6455933658186044,768,0.004860693902902204,4,2,7.593003265854828e-05,RUNNING
24,24,,2024-04-30 11:02:23.098879,,,0.6476192992268583,0.6782722118627379,896,0.008850808722536465,8,2,6.466102063371737e-05,RUNNING
25,25,,2024-04-30 11:02:23.118555,,,0.8129368878128183,0.7689796824892012,1024,0.009954246112722172,2,3,9.722812768441192e-05,RUNNING
26,26,,2024-04-30 11:02:23.138841,,,0.6694384990129745,0.5582016689600181,896,0.0005111881993353465,8,2,5.8794093638439647e-05,RUNNING
27,27,,2024-04-30 11:02:23.152728,,,0.8200096550407725,0.6901112995143998,896,0.0032937735924101733,4,3,3.944824565832622e-05,RUNNING
28,28,,2024-04-30 11:02:23.170940,,,0.8482959835626724,0.5236369247259659,256,0.0014880396800633442,4,4,2.255527901558215e-05,RUNNING
29,29,,2024-04-30 11:02:23.189054,,,0.7109737323557934,0.8207213971334584,128,0.0018322116335670277,8,1,9.751638508869611e-05,RUNNING
30,30,,2024-04-30 11:02:23.199724,,,0.7977360661763688,0.9797559995915474,256,0.004723406196819989,2,3,1.5413755142124982e-06,RUNNING
31,31,,2024-04-30 11:02:23.214746,,,0.8386025144222875,0.8132389573312717,640,0.0048219735410073425,8,3,3.979290180834537e-05,RUNNING
